,name,party,constituency,house,id,date,text
0,,,,,,,
1,Mhairi Black,Scottish National Party,PaisleyandRenfrewshireSouth(2015-2017),Commons,4421,AA-AE1 hs_Para 14/03/2017 14:48:29,"[<p class=""hs_Para"">As hon. Members may know, I am under 25. Does my hon. Friend agree that it would be ridiculous to suggest that I should be paid less than anyone else in this room, purely on the basis of when I was born?</p>]"
2,Mhairi Black,Scottish National Party,PaisleyandRenfrewshireSouth(2015-2017),Commons,4421,AX-AY1 hs_Para 22/03/2017 14:05:54,"[<p class=""hs_Para"">Does my hon. Friend agree that it is because of such examples as he has touched on of unincorporated businesses at risk of losing personal assets that it is so pertinent that the Government have to bring forward the solution right now rather than wait for the opportunity to pass?</p>]"
3,Mhairi Black,Scottish National Party,PaisleyandRenfrewshireSouth(2015-2017),Commons,4421,AX-AY1 hs_Para ,"[<p class=""hs_Para"">Does my hon. Friend agree that by missing this opportunity the Government are wilfully ignoring it, much like they are ignoring the WASPI women themselves?</p>]"
4,Mhairi Black,Scottish National Party,PaisleyandRenfrewshireSouth(2015-2017),Commons,4421,AO-AQ hs_Para 07/03/2017 12:46:21,"[<p class=""hs_Para"">Yesterday, SNP MPs joined others to try to annul this ludicrous legislation. The Government seem to be working on the incorrect assumption that young people can simply stay at home, when parents have no obligation to house their adult children. The SNP has consistently opposed the withdrawal of housing benefit for 18 to 21-year-olds, but under the current powers of the Scottish Parliament, the Scottish Government cannot reverse the cut or provide an exemption for Scotland. Does the Minister agree that it is simply ridiculous that young people should suffer purely because the Government are obsessed with imposing austerity? Can she tell us how many young people will be affected who do not qualify for an exemption? Does she think that an unemployed young adult is more likely to get a job if they have a stable address, or if they are living in a hostel or sleeping on the streets? Will the UK Government exempt Scottish young people from the impact of the regulations and allow the Scottish Government to provide the housing support on their behalf?</p>]"
5,Mhairi Black,Scottish National Party,PaisleyandRenfrewshireSouth(2015-2017),Commons,4421,BE2-BJ1 hs_Para ,"[<p class=""hs_Para"">Last Friday I met representatives of a major bus company in Scotland, who said that 17% of the company’s bus drivers were EU immigrants. They said that the only reason they were not experiencing the haemorrhaging of talent that their counterparts down south were experiencing was the First Minister’s reasonable, sensible and inclusive message that EU nationals were welcome. Does my hon. Friend agree that the UK Government could benefit by conveying such a message?</p>]"
6,Mhairi Black,Scottish National Party,PaisleyandRenfrewshireSouth(2015-2017),Commons,4421,AM2-AO1 hs_Para 02/12/2016 11:35:18,"[<p class=""hs_Para"">If I wanted to use this Bill to get rid of sanctions, that is exactly what it would say on the cover. I have explained, and I cannot be more sincere in explaining, that this Bill is not about removing sanctions. It is a genuine attempt to bring some consistency to a system that is allowing far too many people to fall through the cracks. It is about ensuring that individuals are not left without. That is compassion.</p>]"
7,Mhairi Black,Scottish National Party,PaisleyandRenfrewshireSouth(2015-2017),Commons,4421,AM2-AO1 hs_Para ,"[<p class=""hs_Para"">I am very grateful to the hon. Gentleman for allowing me to intervene. Has he read the NAO report published this week which shows that a quarter of all people between 2010 and 2015-16 have experienced a sanction? That is the reality; that is the real fact.</p>]"
8,Mhairi Black,Scottish National Party,PaisleyandRenfrewshireSouth(2015-2017),Commons,4421,AO2-AP1 hs_Para 02/12/2016 11:49:41,"[<p class=""hs_Para"">I want to respond to the hon. Member for Eastleigh (Mims Davies). As the hon. Member for Bournemouth West (Conor Burns) is sincerely saying, the job of Government is to listen, and they should do so constantly. If they do listen, they will find that there is huge disparity throughout the UK. While it is fine to say in theory that the system should be consistent, the Government should listen to the facts, and the reality of the stories that we are hearing today is that that is not happening. Let us listen and introduce something that will formalise that consistency. That is all that this Bill is about.</p>]"
9,Mhairi Black,Scottish National Party,PaisleyandRenfrewshireSouth(2015-2017),Commons,4421,AT2-AV hs_Para 02/12/2016 12:20:55,"[<p class=""hs_Para"">I welcome the comments made by the hon. and learned Lady and by the hon. Member for Mid Dorset and North Poole (Michael Tomlinson) on the importance of the hardship fund and the good it can do. Will she therefore support the principle of the Bill? Instead of waiting and making the individual responsible for applying to the hardship fund, the Bill would mean that the individual’s entitlement to a hardship payment is immediately assessed. Is that something she can support?</p>]"
10,Mhairi Black,Scottish National Party,PaisleyandRenfrewshireSouth(2015-2017),Commons,4421,AT2-AV hs_Para 02/12/2016 12:25:45,"[<p class=""hs_Para"">Will the hon. and learned Lady give way?</p>]"
11,Mhairi Black,Scottish National Party,PaisleyandRenfrewshireSouth(2015-2017),Commons,4421,AW-AY1 hs_Para 02/12/2016 12:35:05,"[<p class=""hs_Para"">I thank my hon. Friend for giving way. I hope that the Minister will address that point at the end of the debate, because in a written answer to my question asking when the details of the yellow card system would be published, the answer was the end of November. We are now into December.</p>]"
12,Mhairi Black,Scottish National Party,PaisleyandRenfrewshireSouth(2015-2017),Commons,4421,AY2-BB hs_Para 02/12/2016 12:46:44,"[<p class=""hs_Para""><em>rose</em><em>—</em></p>]"
13,Mhairi Black,Scottish National Party,PaisleyandRenfrewshireSouth(2015-2017),Commons,4421,AY2-BB hs_Para 02/12/2016 12:48:23,"[<p class=""hs_Para"">The statistics show that the price of this sanctions regime as it currently stands and the subsequently overturned decisions is £50 million to the taxpayer. The Bill would change how benefit sanctions are administered. It is not about ripping the system apart, but about trying to make it more efficient precisely because we want to save taxpayers’ money as well as a lot of the hassle that some people have to go through.</p>]"
14,Mhairi Black,Scottish National Party,PaisleyandRenfrewshireSouth(2015-2017),Commons,4421,AY2-BB hs_Para ,"[<p class=""hs_Para"">I appreciate what the hon. Lady is saying, and ask her to join me in trying to get that  same experience in those jobcentres to become the norm throughout the UK? This Bill seeks to spread  that consistency and good quality of staff throughout the UK.</p>]"
15,Mhairi Black,Scottish National Party,PaisleyandRenfrewshireSouth(2015-2017),Commons,4421,BC-BF1 hs_Para 02/12/2016 13:08:02,"[<p class=""hs_Para""><em>rose</em><em>—</em></p>]"
16,Mhairi Black,Scottish National Party,PaisleyandRenfrewshireSouth(2015-2017),Commons,4421,BC-BF1 hs_Para 02/12/2016 13:09:01,"[<p class=""hs_Para"">I am genuinely grateful to the hon. Lady for allowing me to intervene. First, I am more than happy for this Bill to be looked at and to have different inputs, so the Government should support it in principle and we can then thrash out in Committee the technicalities of how it can be implemented. Secondly, if the Government are genuinely interested in listening, it might be an idea for the hon. Lady to speak to the Secretary of State for Work and Pensions. I have been trying for weeks to get a meeting with him to discuss the Bill, but I am yet to have even a reply.</p>]"
17,Mhairi Black,Scottish National Party,PaisleyandRenfrewshireSouth(2015-2017),Commons,4421,BF2-BJ hs_Para 02/12/2016 13:27:29,"[<p class=""hs_Para"">Is my hon. Friend frustrated, as I am, about the fact that Government Members seem to be applauding themselves for being so good at listening, but they have not listened for the last three hours, while we have told them how the system is not working and why we need the Bill to formalise what should be happening?</p>]"
18,Mhairi Black,Scottish National Party,PaisleyandRenfrewshireSouth(2015-2017),Commons,4421,BS2-BV1 hs_Para ,"[<p class=""hs_Para""><em>rose—</em></p>]"
19,Mhairi Black,Scottish National Party,PaisleyandRenfrewshireSouth(2015-2017),Commons,4421,AR2-AV hs_Para 30/01/2017 16:04:09,"[<p class=""hs_Para"">The DWP administration centre in my constituency is closing, and 300 jobs will be transferred out of Paisley. Has there been any assessment or consideration of the economic impact on the area? Has there been any consultation whatever; and if not, why not?</p>]"
